SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,,,,
ENT,69714,69714 IMPLANT TEMPLE BONE W/STIMUL,2,26703,ear set,typanoplasty,plastic delicate,,ORAL,21210,21210 FACE BONE GRAFT,8,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
ENT,69930,69930 IMPLANT COCHLEAR DEVICE,18,26703,ear set,typanoplasty,plastic delicate,,ORAL,21215,21215 LOWER JAW BONE GRAFT,2,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,OPTHAMOLOGY,21235,21235 EAR CARTILAGE GRAFT,2,26553,eye plastic,plastic delicate,,,,,,laparoscope instruments
,,,6070,,,,,,ORAL,21240,21240 RECONSTRUCTION OF JAW JOINT,2,26631,dentalavelora tray,,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21242,21242 RECONSTRUCTION OF JAW JOINT,1,26631,dentalavelora tray,,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21243,21243 RECONSTRUCTION OF JAW JOINT,2,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21244,21244 RECONSTRUCTION OF LOWER JAW,1,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21248,21248 RECONSTRUCTION OF JAW,3,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21249,21249 RECONSTRUCTION OF JAW,1,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,OPTHAMOLOGY,21282,21282 REVISION OF EYELID,1,26553,eye plastic,plastic delicate,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21454,21454 TREAT LOWER JAW FRACTURE,2,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21462,21462 TREAT LOWER JAW FRACTURE,2,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21470,21470 TREAT LOWER JAW FRACTURE,1,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ORAL,21485,21485 RESET DISLOCATED JAW,1,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
,,,,,,,,,ENT,21552,21552 EXC NECK 1 FS SC 3 CM/>,1,26622,,,,,,,,laparoscope instruments
,,,,,,,,,GEN,21554,21554 EXC NECK TUM DEEP 5 CM/>,3,26506,minor basic,plastic basic,,,,,,laparoscope instruments
,,,,,,,,,GEN,21555,21555 EXC NECK LES SC < 3 CM,1,26506,minor basic,plastic basic,,,,,,laparoscope instruments
,,,,,,,,,ENT,21556,21556 EXC NECK TUM DEEP < 5 CM,2,26506,minor basic,plastic basic,,,,,,laparoscope instruments
,,,,,,,,,GEN,21556,21556 EXC NECK TUM DEEP < 5 CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,GEN,21933,21933 EXC BACK TUM DEEP 5 CM/>,3,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,PLASTIC,21933,21933 EXC BACK TUM DEEP 5 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,22551,22551 NECK SPINE FUSE&REMOV BEL C2 15,15,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22552,22552 ADDL NECK SPINE FUSION 5,5,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22554,22554 NECK SPINE FUSION 6,6,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22558,22558 LUMBAR SPINE FUSION 13,14,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,VASC,22558,22558 LUMBAR SPINE FUSION,6,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22585,22585 ADDITIONAL SPINAL FUSION 6,6,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,VASC,22585,22585 ADDITIONAL SPINAL FUSION,2,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22600,22600 NECK SPINE FUSION 1,1,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22612,22612 LUMBAR SPINE FUSION 2,2,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22614,22614 SPINE FUSION EXTRA SEGMENT 1,1,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,ORTHO,22630,22630 LUMBAR SPINE FUSION 4,4,26668,spine A,spine B,spine C,lambotte osteotome,,,,
,,,,,,,,,GEN,22902,22902 EXC ABD LES SC < 3 CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,GEN,22903,22903 EXC ABD LES SC 3 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,23410,23410 REPAIR ROTATOR CUFF ACUTE 8,8,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23412,23412 REPAIR ROTATOR CUFF CHRONIC 15,15,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23430,23430 REPAIR BICEPS TENDON 22,22,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23450,23450 REPAIR SHOULDER CAPSULE 1,1,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23455,23455 REPAIR SHOULDER CAPSULE 1,1,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23466,23466 REPAIR SHOULDER CAPSULE 1,1,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23472,23472 RECONSTRUCT SHOULDER JOIN! 5,5,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23474,23474 REV IS RECONST SHOULDER JOINT 1,1,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,23655,23655 TREAT SHOULDER DISLOCATION 1,1,26670,minor ortho,arthrex shoulder repair,arthroscopy scope,arthoscopy shaver,,,,
,,,,,,,,,ORTHO,24000,24000 EXPLORATORY ELBOW SURGERY 1,1,26655,major ortho,,,,,,,
,,,,,,,,,ORTHO,24101,24101. EXPLORE/TREAT ELBOW JOINT 1,1,26655,major ortho,,,,,,,
,,,,,,,,,ORTHO,24102,24102 REMOVE ELBOW JOINT LINING 1,1,26655,major ortho,,,,,,,
,,,,,,,,,ORTHO,24120,24120 REMOVE ELBOW LESION 1,1,26655,major ortho,,,,,,,
,,,,,,,,,VASC,24495,24495 DECOMPRESSION OF FOREARM,2,26700,amputation tray,,,,,,,
,,,,,,,,,GEN,25071,25071 EXC FOREARM LES SC 3 CM/>,2,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,GEN,25073,25073 EXC FOREARM TUM DF.FP 3 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,GEN,25075,25075 EXC FOREARM LES SC < 3 CM,2,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,25107,25107 REMOVE WRIST JOINT CARTILAGE 1,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25111,25111 REMOVE WRIST TENDON LESION 3,3,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25111,25111 REMOVE WRIST TENDON LESION,1,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,ORTHO,25118,EXCISE WRIST TENDON SHEATH,2,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25130,25130 REMOVAL OF WRIST LESION,6,,,,,,,,,
,,,,,,,,,PLASTIC,25210,25210 REMOVAL OF WRIST BONE,1,,,,,,,,,
,,,,,,,,,ORTHO,25215,REMOVAL OF WRIST BONES,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25260,REPAIR FOREARM TENDON/MUSCLE,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25295,25295 RELEASE WRIST/FOREARM TENDON,1,,,,,,,,,
,,,,,,,,,PLASTIC,25310,25310 TRANSPLANT FOREARM TENDON,1,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,PLASTIC,25312,25312 TRANSPLANT FOREARM TENDON,2,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,ORTHO,25320,REPAIR/REVISE WRIST JOINT,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25350,REVISION OF RADIUS,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25440,REPAIR/GRAFT WRIST BONE,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25445,25445 RECONSTRUCT WRIST JOINT,1,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,25447,25447 REPAIR WRIST JOINTS,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,25515,TREAT FRACTURE OF RADIUS,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25607,TREAT FX RAD EXTRA-ARTICUL,4,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25608,TREAT FX RAD INTRA-ARTICUL,7,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,25609,TREAT FX RADIAL 3+ FRAG,8,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25800,25800 FUSION OF WRIST JOINT,4,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,25810,25810 FUSION/GRAFT OF WRIST JOINT,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,25810,FUSION/GRAFT OF WRIST JOINT,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,25825,25825 FUSE HAND BONES WITH GRAFT,2,26560,minor ortho,,,,,,,
,,,,,,,,,VASC,25907,25907 AMPUTATION FOLLOW-UP SURGERY,1,26700,amputation tray,,,,,,,
,,,,,,,,,PLASTIC,26055,26055 INCISE FINGER TENDON SHEATH,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26055,INCISE FINGER TENDON SHEATH,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26111,26111 EXC HAND LES SC 1.5 CM/>,4,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,PLASTIC,26113,26113 EXC HAND TUM DEEP 1.5 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,PLASTIC,26115,26115 EXC HAND LES SC < 1.5 CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,PLASTIC,26116,26116 EXC HAND TUM DEEP < 1.5 CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,26121,RELEASE PALM CONTRACTURE,1,26583,plastic basic,minor basic,,,,,,
,,,,,,,,,PLASTIC,26121,26121 RELEASE PALM CONTRACTURE,1,26583,plastic basic,minor basic,,,,,,
,,,,,,,,,ORTHO,26123,RELEASE PALM CONTRACTURE,3,26583,plastic basic,minor basic,,,,,,
,,,,,,,,,PLASTIC,26123,26123 RELEASE PALM CONTRACTURE,2,26583,plastic basic,minor basic,,,,,,
,,,,,,,,,PLASTIC,26125,26125 RELEASE PALM CONTRACTURE,4,26583,plastic basic,minor basic,,,,,,
,,,,,,,,,ORTHO,26145,TENDON EXCISION PALM/FINGER,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26160,REMOVE TENDON SHEATH LESION,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26160,26160 REMOVE TENDON SHEATH LESION,1,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,ORTHO,26170,REMOVAL OF PALM TENDON EACH,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26180,26180 REMOVAL OF FINGER TENDON,5,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26210,REMOVAL OF FINGER LESION,2,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26350,REPAIR FINGER/HAND TENDON,3,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26350,26350 REPAIR FINGER/HAND TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26356,26356 REPAIR FINCER/HAND TENDON,2,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26370,REPAIR FINGER/HAND TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26370,26370 REPAIR FINGER/HAND TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26410,26410 REPAIR HAND TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26418,REPAIR FINGER TENDON,2,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26418,26418 REPAIR FINGER TENDON,3,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26440,26440 RELEASE PALM/FINGER TENDON,2,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,ORTHO,26455,INCISION OF FINGER TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26478,LENGTHENING OF HAND TENDON,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26480,26480 TRANSPLANT HAND TENDON,1,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,PLASTIC,26485,26485 TRANSPLANT PALM TFNDON,1,26657,hand and wrist,plastic basic,,,,,,
,,,,,,,,,PLASTIC,26530,26530 REVISE KNUCKLE JOINT,1,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,26540,26540 REPAIR HAND JOINT,1,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,26591,26591 REPAIR MUSCLES OF HAND,1,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,26607,26607 TREAT METACARPAL FRACTURE,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26608,TREAT METACARPAL FRACTURE,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26615,26615 TREAT METACARPAL FRACTURE,4,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26615,TREAT METACARPAL FRACTURE,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26650,TREAT THUMB FRACTURE,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26676,PIN HAND DISLOCATION,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26727,TREAT FINGER FRACTURE EACH,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,ORTHO,26735,TREAT FINGER FRACTURE EACH,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26756,26756 PIN FINGER FRACTURE EACH,1,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,26765,26765 TREAT FINGER FRACTURE EACH,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26765,TREAT FINGER FRACTURE EACH,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26775,26775 TREAT FINGER DISLOCATION,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26785,TREAT FINGER DISLOCATION,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26850,26850 FUSION OF KNUCKLE,2,26560,minor ortho,,,,,,,
,,,,,,,,,PLASTIC,26860,26860 FUSION OF FINGER JOINT,1,26560,minor ortho,,,,,,,
,,,,,,,,,ORTHO,26860,FUSION OF FINGER JOINT,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PLASTIC,26951,26951 AMPUTATION OF FINGER/THUMB,3,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,VASC,26951,26951 AMPUTATION OF FINGER/THUMB,1,26700,amputation tray,,,,,,,
,,,,,,,,,PLASTIC,26952,26952 AMPUTATION OF FINGER/THUMB,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,GEN,27045,27045 EXC HIP/PELV TUM DEEP 5 CM/>,2,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,27125,PARTIAL HIP REPLACEMENT,3,26665,basic ortho,total hip,lambotte osteotome,charnley retractor,dr. erens wing retractor,,,
,,,,,,,,,ORTHO,27130,TOTAL HIP ARTHROPLASTY,48,26665,basic ortho,total hip,lambotte osteotome,charnley retractor,dr. erens wing retractor,,,
,,,,,,,,,ORTHO,27132,TOTAL HIP ARTHROPLASTY,1,26665,basic ortho,total hip,lambotte osteotome,charnley retractor,dr. erens wing retractor,,,
,,,,,,,,,ORTHO,27134,REVISE HIP JOINT REPLACEMENT,7,26665,basic ortho,total hip,lambotte osteotome,charnley retractor,dr. erens wing retractor,,,
,,,,,,,,,ORTHO,27138,REVISE HIP JOINT REPLACEMENT,3,26665,basic ortho,total hip,lambotte osteotome,charnley retractor,dr. erens wing retractor,,,
,,,,,,,,,VASC,27301,27301 DRAIN THIGH/KNEE LESION,1,26700,amputation tray,,,,,,,
,,,,,,,,,GEN,27328,27328 EXC THIGH/KNEE TUM DEEP <5CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,27328,EXC THIGH/KNEE TUM DEEP <5CM,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,GEN,27337,27337 EXC THIGII/KNEE LES SC 3 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,ORTHO,27380,REPAIR OF KNEECAP TENDON,4,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27415,OSTEOCHONDRAL KNEE ALLOGRAFT,1,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27416,OSTEOCHONDRAL KNEE AUTOGRAFT,2,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27418,REPAIR DEGENERATED KNEECAP,1,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27420,REVISION OF UNSTABLE KNEECAP,1,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27428,RECONSTRUCTION KNEE,2,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27442,TOTAL KNEE ARTHROPLASTY,119,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27487,REVISE/REPLACE KNEE JOINT,2,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27488,REMOVAL OF KNEE PROSTHESIS,10,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27524,TREAT KNEECAP FRACTURE,3,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27535,TREAT KNEE FRACTURE,2,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27570,FIXATION OF KNEE JOINT,7,26664,"basic ortho, lambotte, cement gun",,,,,,,
,,,,,,,,,ORTHO,27590,AMPUTATE LEG AT THIGH,1,26561,amputation tray,,,,,,,
,,,,,,,,,VASC,27590,27590 AMPUTATE LEG AT THIGH,8,26700,amputation tray,,,,,,,
,,,,,,,,,VASC,27596,27596 AMPUTATION FOLLOW-UP SURGERY,1,26700,amputation tray,,,,,,,
,,,,,,,,,ORTHO,27610,EXPLORE/TREAT ANKLE JOINT,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27650,27650 REPAIR ACHILLES TENDON,4,26658,major ortho,,,,,,,
,,,,,,,,,ORTHO,27650,27650 REPAIR ACHILLES TENDON 6,6,26658,major ortho,,,,,,,
,,,,,,,,,ORTHO,27695,27695 REPAIR OF ANKLE LIGAMENT 1,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27700,27700 REVISION OF ANKLE JOINT 2,2,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27750,27750 TREATMENT OF TIBIA FRACTURE 1,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27758,27758 TREATMENT OF TIBIA FRACTURE 1,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27759,27759 TREATMENT OF TIBIA FRACTURE 1,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27792,27792 TREATMENT OF ANKLE FRACTURE 11,11,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27792,27792 TREATMENT OF ANKLE FRACTURE 1,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27814,27814 TREATMENT OF ANKLE FRACTURE 11,11,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,27814,27814 TREATMENT OF ANKLE FRACTURE,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27822,27822 TREATMENT OF ANKLE FRACTURE,3,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27870,27870 FUSION OF ANKLE JOINT OPEN 2,2,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,ORTHO,27880,27880 AMPUTATION OF LOWER LEG 2,2,26700,amputation tray,,,,,,,
,,,,,,,,,VASC,27880,27880 AMPUTATION OF LOWER LEG,16,26700,amputation tray,,,,,,,
,,,,,,,,,GEN,27882,27882 AMPUTATION OF LOWER LEG,1,26700,amputation tray,,,,,,,
,,,,,,,,,VASC,27882,27882 AMPUTATION OF LOWER LEG,7,26700,amputation tray,,,,,,,
,,,,,,,,,VASC,27886,27886 AMPUTATION FOLLOW-UP SURGERY,6,26700,amputation tray,,,,,,,
,,,,,,,,,VASC,27886,27886 AMPUTATION FOLLOW-UP SURGERY,1,26700,amputation tray,,,,,,,
,,,,,,,,,PODIATRY,28039,28039 EXC FOOT/TOE TUM SC 1.5 CM/>,1,26506,minor basic,plastic basic,,,,,,
,,,,,,,,,PODIATRY,28111,28111 PART REMOVAL OF METATARSAL,1,26663,minor orth,lambotte osteotome,,,,,,
,,,,,,,,,PODIATRY,28120,28120 PART REMOVAL OF ANKLL/HEEL,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28122,28122 PARTIAL REMOVAL OF FOOT BONE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28124,28124 PARTIAL REMOVAL OF TOE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28124,28124 PARTIAL REMOVAL OF TOE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28150,28150 REMOVAL OF TOE,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28232,28232 INCISION OF TOE TENDON,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28238,28238 REVISION OF FOOT TENDON,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,ORTHO,28260,28260 RELEASE OF MIDFOOT JOINT 1,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PODIATRY,28270,28270 RELEASE OF FOOT CONTRACTURE,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28285,28285 REPAIR OF HAMMERTOE,14,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28285,28285 REPAIR OF HAMMERTOE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28289,28289 REPAIR HALLUX RIGIDUS,5,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28290,28290 CORRECTION OF BUNION,1,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28292,28292 CORRECTION OF BUNION,2,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28292,28292 CORRECTION OF BUNION,1,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28295,28295 CORRECT ION OF BUNION,7,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28296,28296 CORRECTION OF BUNION,2,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28297,28297 CORRECTION OF BUNION,2,26649,podiatry tray,,,,,,,
,,,,,,,,,PODIATRY,28315,28315 REMOVAL OF SESAMOID BONE,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,ORTHO,28445,28445 TREAT ANKLE FRACTURE 1,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PODIATRY,28485,28485 TREAT METATARSAL FRACTURE,4,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28485,28485 TREAT METATARSAL FRACTURE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28525,28525 TREAT TOE FRACTURE,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,ORTHO,28705,28705 FUSION OF FOOT BONES 1,1,26602,"Dr. walsh hand tray, lead hand, hand and wrist",,,,,,,
,,,,,,,,,PODIATRY,28715,28715 FUSION OF FOOT BONES,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28715,28715 FUSION OF FOOT BONES,2,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28725,28725 FUSION Or FOOT BONES,5,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
,,,,,,,,,PODIATRY,28725,28725 FUSION OF FOOT BONES,1,26559,podiatry tray,lambotte osteotome,minor ortho,,,,,
